time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,city,lat,lon,year,month,day,season
2023-09-16,15.058333333333332,56.97916666666666,245.75,26.629166666666663,9.470833333333331,56.5,97.70833333333331,乌鲁木齐,43.8256,87.6168,2023,9,16,autumn
2023-09-17,31.98333333333333,135.96666666666667,282.7916666666667,29.329166666666666,8.429166666666665,46.0,261.625,乌鲁木齐,43.8256,87.6168,2023,9,17,autumn
2023-09-18,33.3875,142.23333333333332,299.7083333333333,30.29583333333333,8.095833333333333,42.625,272.2083333333333,乌鲁木齐,43.8256,87.6168,2023,9,18,autumn
2023-09-19,45.00833333333333,200.53333333333333,362.2916666666667,34.979166666666664,11.075,41.458333333333336,411.25,乌鲁木齐,43.8256,87.6168,2023,9,19,autumn
2023-09-20,85.10833333333333,336.65000000000003,367.125,29.5125,7.495833333333334,45.458333333333336,681.0833333333334,乌鲁木齐,43.8256,87.6168,2023,9,20,autumn
2023-09-21,20.1125,52.7125,243.41666666666663,19.84583333333333,8.1875,71.83333333333333,69.5,乌鲁木齐,43.8256,87.6168,2023,9,21,autumn
2023-09-22,14.479166666666666,42.7875,296.6666666666667,30.495833333333334,9.129166666666666,51.41666666666666,63.29166666666666,乌鲁木齐,43.8256,87.6168,2023,9,22,autumn
2023-09-23,20.22083333333333,65.89583333333333,279.875,31.14583333333333,9.1625,48.75,105.33333333333331,乌鲁木齐,43.8256,87.6168,2023,9,23,autumn
2023-09-24,48.3125,211.84583333333333,270.25,25.45833333333333,7.1625000000000005,36.875,431.75,乌鲁木齐,43.8256,87.6168,2023,9,24,autumn
2023-09-25,11.979166666666666,32.1625,253.20833333333331,19.508333333333333,8.416666666666666,44.79166666666666,47.91666666666666,乌鲁木齐,43.8256,87.6168,2023,9,25,autumn
2023-09-26,80.02499999999999,353.07916666666665,370.7083333333333,33.35,9.266666666666667,32.041666666666664,720.375,乌鲁木齐,43.8256,87.6168,2023,9,26,autumn
